Type	Date
A	10/15/2007
A	10/03/2007
A	12/04/2007
A	10/04/2007
A	11/13/2007
A	10/03/2007
A	10/22/2007
A	10/25/2007
A	10/22/2007
A	10/02/2007
A	11/01/2007
A	12/23/2007
A	11/06/2007
A	12/09/2007
A	10/13/2007
A	12/19/2007
A	12/20/2007
A	12/14/2007
A	12/10/2007
A	11/14/2007
A	12/18/2007
A	12/10/2007
A	12/21/2007
A	12/12/2007
A	12/27/2007
A	11/26/2007
A	12/11/2007
A	12/13/2007
A	12/13/2007
A	12/19/2007
A	12/16/2007
A	12/10/2007
A	11/28/2007
A	11/07/2007
A	12/06/2007
A	10/15/2007
A	12/11/2007
A	12/02/2007
A	12/01/2007
A	11/06/2007
A	11/14/2007
A	12/10/2007
A	12/05/2007
A	11/12/2007
A	12/14/2007
A	12/03/2007
A	11/26/2007
A	12/04/2007
A	12/12/2007
A	12/16/2007
A	10/31/2007
A	12/05/2007
A	12/06/2007
A	12/04/2007
A	12/03/2007
A	12/03/2007
A	12/16/2007
A	10/24/2007
A	01/02/2008
A	12/27/2007
A	12/06/2007
A	11/06/2007
B	01/03/2008
B	12/28/2007
B	01/02/2008
B	01/02/2008
B	10/28/2007
B	12/24/2007
A	12/22/2007
A	01/15/2008
A	12/26/2007
A	11/28/2007
A	01/29/2008
A	01/15/2008
A	02/02/2008
A	12/12/2007
A	12/30/2007
A	01/07/2008
A	01/11/2008
A	01/03/2008
A	12/05/2007
A	11/14/2007
A	01/04/2008
A	12/18/2007
A	01/07/2008
A	01/04/2008
A	01/17/2008
A	11/21/2007
A	01/14/2008
A	12/31/2007
A	01/22/2008
A	12/18/2007
A	11/14/2007
A	11/15/2007
A	01/10/2008
A	01/13/2008
A	01/16/2008
A	02/04/2008
A	01/29/2008
A	01/15/2008
A	02/07/2008
A	01/03/2008
A	01/02/2008
A	01/17/2008
A	01/31/2008
A	02/01/2008
A	01/17/2008
A	01/22/2008
A	01/18/2008
A	01/25/2008
A	02/05/2008
A	01/31/2008
A	02/01/2008
A	01/30/2008
A	01/07/2008
A	12/16/2007
A	12/09/2007
A	01/16/2008
A	01/21/2008
A	01/18/2008
A	12/20/2007
A	12/10/2007
A	12/20/2007
A	01/28/2008
A	12/11/2007
A	01/22/2008
A	01/04/2008
A	12/28/2007
A	01/04/2008
A	01/10/2008
A	11/14/2007
A	11/02/2007
A	01/25/2008
A	11//2007
A	12//2007
A	12//2007
A	11//2007
B	11//2007
B	11//2007
B	12//2007
A	01/25/2008
A	01/17/2008
A	01/22/2008
A	02/01/2008
A	01/11/2008
A	01/21/2008
A	02/06/2008
A	01/31/2008
A	01/23/2008
A	01/22/2008
A	01/28/2008
A	01/23/2008
A	02/01/2008
A	02/01/2008
A	02/16/2008
A	02/04/2008
A	02/20/2008
A	02/26/2008
A	03/12/2008
B	11/27/2007
B	11/03/2007
B	12/21/2007
B	12/21/2007
B	12/24/2007
B	01/02/2008
B	12/31/2007
B	12/29/2007
B	12/29/2007
B	01/10/2008
B	01/10/2008
B	01/20/2008
B	01/19/2008
B	01/15/2008
B	01/23/2008
B	01/16/2008
B	01/09/2008
B	02/01/2008
B	01/31/2008
B	02/06/2008
B	01/29/2008
B	02/05/2008
B	01/19/2008
B	01/18/2008
B	01/24/2008
B	02/09/2008
B	02/11/2008
B	01/30/2008
B	02/19/2008
B	02/18/2008
B	02/03/2008
B	02/11/2008
B	02/13/2008
B	03/05/2008
B	02/01/2008
B	03/14/2008
A	01/07/2008
A	01/13/2008
A	12/04/2007
A	01/09/2008
A	01/30/2008
A	02/06/2008
A	01/15/2008
A	01/17/2008
A	02/06/2008
A	01/29/2008
A	01/25/2008
A	01/24/2008
A	02/14/2008
A	02/05/2008
A	02/20/2008
A	02/18/2008
A	02/05/2008
A	02/06/2008
A	02/14/2008
A	02/09/2008
A	02/06/2008
A	01/15/2008
A	02/06/2008
A	01/21/2008
A	03/11/2008
A	12/30/2007
A	01/01/2008
A	01/17/2008
A	01/24/2008
A	01/15/2008
A	02/05/2008
A	02/18/2008
A	01/13/2008
A	01/12/2008
A	02/13/2008
A	02/11/2008
A	01/24/2008
A	03/19/2008
A	03/21/2008
A	03/23/2008
B	02/05/2008
B	03/07/2008
B	02/22/2008
B	01/29/2008
B	01/09/2008
B	02/01/2008
B	02/29/2008
B	02/06/2008
B	03/15/2008
B	03/19/2008
B	03/27/2008
B	04/04/2008
B	04/15/2008
B	03/10/2008
B	04/11/2008
A	01/10/2008
A	01/06/2008
A	02/05/2008
A	02/04/2008
A	02/07/2008
A	02/20/2008
A	01/24/2008
A	03/02/2008
A	03/03/2008
A	03/14/2008
A	03/21/2008
A	01/22/2008
A	03/13/2008
A	04/04/2008
A	02/01/2008
A	03/21/2008
A	03/21/2008
A	03/11/2008
A	03/13/2008
A	03/19/2008
A	04/21/2008
A	12/12/2007
A	01/15/2008
A	11/07/2007
A	12/16/2007
A	12/16/2007
A	12/12/2007
A	12/12/2007
A	12/21/2007
A	01/11/2008
A	12/29/2007
A	01/28/2008
A	01/22/2008
A	02/18/2008
A	03/28/2008
B	03/04/2008
B	03/10/2008
B	03/03/2008
B	03/10/2008
B	03/22/2008
B	03/20/2008
B	02/08/2008
B	03/21/2008
B	03/11/2008
B	04/10/2008
B	04/14/2008
B	04/02/2008
B	04/10/2008
B	04/11/2008
B	04/21/2008
B	04/14/2008
A	03/11/2008
A	05/15/2008
A	05/27/2008
A	05/29/2008
B	10/18/2007
B	12/27/2007
B	12/28/2007
B	10/02/2007
B	04/21/2008
B	03/19/2008
B	03/16/2008
B	04/11/2008
B	04/26/2008
B	04/03/2008
B	03/27/2008
B	05/07/2008
B	03/27/2008
B	01/30/2008
B	03/17/2008
B	05/01/2008
B	04/09/2008
B	02/12/2008
A	10/04/2007
B	04/16/2008
B	04/20/2008
B	02/05/2008
B	03/26/2008
B	03/18/2008
B	02/05/2008
B	04/23/2008
B	02/05/2008
A	04/01/2008
A	04/07/2008
A	03/10/2008
A	05/10/2008
A	12/12/2007
A	12/12/2007
A	12/13/2007
B	11/15/2007
B	01/22/2008
B	01/22/2008
A	03/04/2008
A	03/20/2008
A	02/26/2008
A	03/02/2008
A	03/04/2008
A	03/08/2008
A	04/05/2008
A	04/11/2008
A	04/16/2008
A	12/24/2007
A	12/26/2007
A	12/29/2007
A	03//2008
A	04//2008
A	01/30/2008
A	01/28/2008
A	01/29/2008
A	01/29/2008
A	01/29/2008
A	01/29/2008
A	01/31/2008
A	01/28/2008
A	02/08/2008
A	02/13/2008
B	04/09/2008
B	04/11/2008
B	04/27/2008
B	04/30/2008
B	05/02/2008
B	05/06/2008
B	05/15/2008
B	05/19/2008
B	03/10/2008
B	04/02/2008
B	04/03/2008
B	04/17/2008
B	04/17/2008
B	04/21/2008
B	04/22/2008
B	04/23/2008
B	04/29/2008
B	04/29/2008
B	05/02/2008
B	05/08/2008
B	05/13/2008
B	05/13/2008
B	05/14/2008
B	05/14/2008
B	05/16/2008
B	05/16/2008
B	05/19/2008
B	05/22/2008
B	05/23/2008
B	05/26/2008
B	05/27/2008
B	04/14/2008
B	04/25/2008
B	04/22/2008
B	04/22/2008
B	04/25/2008
B	05/12/2008
B	05/12/2008
B	05/15/2008
B	05/13/2008
B	05/14/2008
B	05/14/2008
B	05/16/2008
B	05/20/2008
B	05/20/2008
B	05/21/2008
B	05/22/2008
B	05/23/2008
B	05/27/2008
B	05/27/2008
B	05/28/2008
A	04/15/2008
A	04/29/2008
A	03/05/2008
A	04/29/2008
A	05/05/2008
A	03/18/2008
A	04/15/2008
A	04/29/2008
A	01/09/2008
A	11/15/2007
A	12/31/2007
B	02/19/2008
B	02/23/2008
B	02/11/2008
B	04/02/2008
B	04/02/2008
B	02/29/2008
B	03/13/2008
