County	Candidate	Party	Votes	Vote share	Expected votes counted ()
Saline	Jill Stein	Green	8	0.1	100
Sarpy	Donald Trump wins	Republican (incumbent)	55567	54.9	100
Sarpy	Kamala Harris	Democrat	43825	43.3	100
Sarpy	Chase Oliver	Libertarian	755	0.7	100
Sarpy	Write-ins	Write - In	564	0.6	100
Sarpy	Jill Stein	Green	296	0.3	100
Sarpy	Cornel West	Unity	292	0.3	100
Saunders	Donald Trump wins	Republican (incumbent)	9854	72.3	100
Saunders	Kamala Harris	Democrat	3558	26.1	100
Saunders	Chase Oliver	Libertarian	97	0.7	100
Saunders	Write-ins	Write - In	57	0.4	100
Saunders	Jill Stein	Green	28	0.2	100
Saunders	Cornel West	Unity	28	0.2	100
Scotts Bluff	Donald Trump wins	Republican (incumbent)	11033	73.1	100
Scotts Bluff	Kamala Harris	Democrat	3856	25.5	100
Scotts Bluff	Chase Oliver	Libertarian	72	0.5	100
Scotts Bluff	Write-ins	Write - In	55	0.4	100
Scotts Bluff	Cornel West	Unity	46	0.3	100
Scotts Bluff	Jill Stein	Green	33	0.2	100
Seward	Donald Trump wins	Republican (incumbent)	6667	72.2	100
Seward	Kamala Harris	Democrat	2388	25.8	100
Seward	Chase Oliver	Libertarian	85	0.9	100
Seward	Write-ins	Write - In	56	0.6	100
Seward	Jill Stein	Green	23	0.2	100
Seward	Cornel West	Unity	21	0.2	100
Sheridan	Donald Trump wins	Republican (incumbent)	2102	84.2	100
Sheridan	Kamala Harris	Democrat	362	14.5	100
Sheridan	Write-ins	Write - In	13	0.5	100
Sheridan	Chase Oliver	Libertarian	11	0.4	100
Sheridan	Cornel West	Unity	5	0.2	100
Sheridan	Jill Stein	Green	4	0.2	100
Sherman	Donald Trump wins	Republican (incumbent)	1344	79.4	100
Sherman	Kamala Harris	Democrat	328	19.4	100
Sherman	Chase Oliver	Libertarian	8	0.5	100
Sherman	Cornel West	Unity	5	0.3	100
Sherman	Write-ins	Write - In	5	0.3	100
Sherman	Jill Stein	Green	2	0.1	100
Sioux	Donald Trump wins	Republican (incumbent)	597	87.8	100
Sioux	Kamala Harris	Democrat	77	11.3	100
Sioux	Chase Oliver	Libertarian	4	0.6	100
Sioux	Write-ins	Write - In	2	0.3	100
Sioux	Jill Stein	Green	0	0.0	100
Sioux	Cornel West	Unity	0	0.0	100
Stanton	Donald Trump wins	Republican (incumbent)	2536	82.4	100
Stanton	Kamala Harris	Democrat	492	16.0	100
Stanton	Chase Oliver	Libertarian	17	0.6	100
Stanton	Write-ins	Write - In	12	0.4	100
Stanton	Jill Stein	Green	11	0.4	100
Stanton	Cornel West	Unity	8	0.3	100
Thayer	Donald Trump wins	Republican (incumbent)	2278	79.6	100
Thayer	Kamala Harris	Democrat	544	19.0	100
Thayer	Chase Oliver	Libertarian	17	0.6	100
Thayer	Write-ins	Write - In	11	0.4	100
Thayer	Cornel West	Unity	7	0.2	100
Thayer	Jill Stein	Green	6	0.2	100
Thomas	Donald Trump wins	Republican (incumbent)	348	88.5	91.6
Thomas	Kamala Harris	Democrat	44	11.2	91.6
Thomas	Chase Oliver	Libertarian	1	0.3	91.6
Thomas	Jill Stein	Green	0	0.0	91.6
Thomas	Cornel West	Unity	0	0.0	91.6
Thomas	Write-ins	Write - In	0	0.0	91.6
Thurston	Donald Trump wins	Republican (incumbent)	1125	53.0	100
Thurston	Kamala Harris	Democrat	978	46.1	100
Thurston	Chase Oliver	Libertarian	8	0.4	100
Thurston	Cornel West	Unity	8	0.4	100
Thurston	Jill Stein	Green	4	0.2	100
Thurston	Write-ins	Write - In	0	0.0	100
Valley	Donald Trump wins	Republican (incumbent)	1872	81.4	100
Valley	Kamala Harris	Democrat	403	17.5	100
Valley	Chase Oliver	Libertarian	12	0.5	100
Valley	Jill Stein	Green	6	0.3	100
Valley	Cornel West	Unity	6	0.3	100
Valley	Write-ins	Write - In	2	0.1	100
Washington	Donald Trump wins	Republican (incumbent)	8855	70.2	100
Washington	Kamala Harris	Democrat	3538	28.1	100
Washington	Chase Oliver	Libertarian	91	0.7	100
Washington	Write-ins	Write - In	62	0.5	100
Washington	Cornel West	Unity	34	0.3	100
